Pr,City,Pr_ch,City_ch
北京市,北京市,BJ,beijingshi
天津市,天津市,TJ,tianjinshi
河北省,石家庄市,HB,shijiazhuangshi
河北省,唐山市,HB,tangshanshi
河北省,秦皇岛市,HB,qinhuangdaoshi
河北省,邯郸市,HB,handanshi
河北省,邢台市,HB,xingtaishi
河北省,保定市,HB,baodingshi
河北省,张家口市,HB,zhangjiakoushi
河北省,承德市,HB,chengdeshi
河北省,沧州市,HB,cangzhoushi
河北省,廊坊市,HB,langfangshi
河北省,衡水市,HB,hengshuishi
山西省,太原市,X,taiyuanshi
山西省,大同市,X,datongshi
山西省,阳泉市,X,yangquanshi
山西省,长治市,X,changzhishi
山西省,晋城市,X,jinchengshi
山西省,朔州市,X,shuozhoushi
山西省,晋中市,X,jinzhongshi
山西省,运城市,X,yunchengshi
山西省,忻州市,X,xinzhoushi
山西省,临汾市,X,linfenshi
山西省,吕梁市,X,lvliangshi
内蒙古自治区,呼和浩特市,NMGZZQ,huhehaoteshi
内蒙古自治区,包头市,NMGZZQ,baotoushi
内蒙古自治区,乌海市,NMGZZQ,wuhaishi
内蒙古自治区,赤峰市,NMGZZQ,chifengshi
内蒙古自治区,通辽市,NMGZZQ,tongliaoshi
内蒙古自治区,鄂尔多斯市,NMGZZQ,eerduosishi
内蒙古自治区,呼伦贝尔市,NMGZZQ,hulunbeiershi
内蒙古自治区,巴彦淖尔市,NMGZZQ,bayannaoershi
内蒙古自治区,乌兰察布市,NMGZZQ,wulanchabushi
内蒙古自治区,兴安盟,NMGZZQ,xinganmeng
内蒙古自治区,锡林郭勒盟,NMGZZQ,xilinguolemeng
内蒙古自治区,阿拉善盟,NMGZZQ,alashanmeng
辽宁省,沈阳市,LN,shenyangshi
辽宁省,大连市,LN,dalianshi
辽宁省,鞍山市,LN,anshanshi
辽宁省,抚顺市,LN,fushunshi
辽宁省,本溪市,LN,benxishi
辽宁省,丹东市,LN,dandongshi
辽宁省,锦州市,LN,jinzhoushi
辽宁省,营口市,LN,yingkoushi
辽宁省,阜新市,LN,fuxinshi
辽宁省,辽阳市,LN,liaoyangshi
辽宁省,盘锦市,LN,panjinshi
辽宁省,铁岭市,LN,tielingshi
辽宁省,朝阳市,LN,zhaoyangshi
辽宁省,葫芦岛市,LN,huludaoshi
吉林省,长春市,JL,changchunshi
吉林省,吉林市,JL,jilinshi
吉林省,四平市,JL,sipingshi
吉林省,辽源市,JL,liaoyuanshi
吉林省,通化市,JL,tonghuashi
吉林省,白山市,JL,baishanshi
吉林省,松原市,JL,songyuanshi
吉林省,白城市,JL,baichengshi
吉林省,延边朝鲜族自治州,JL,yanbianzhaoxianzuzizhizhou
黑龙江省,哈尔滨市,HLJ,haerbinshi
黑龙江省,齐齐哈尔市,HLJ,qiqihaershi
黑龙江省,鸡西市,HLJ,jixishi
黑龙江省,鹤岗市,HLJ,hegangshi
黑龙江省,双鸭山市,HLJ,shuangyashanshi
黑龙江省,大庆市,HLJ,daqingshi
黑龙江省,伊春市,HLJ,yichunshi
黑龙江省,佳木斯市,HLJ,jiamusishi
黑龙江省,七台河市,HLJ,qitaiheshi
黑龙江省,牡丹江市,HLJ,mudanjiangshi
黑龙江省,黑河市,HLJ,heiheshi
黑龙江省,绥化市,HLJ,suihuashi
黑龙江省,大兴安岭地区,HLJ,daxinganlingdiqu
上海市,上海市,H,shanghaishi
江苏省,南京市,J,nanjingshi
江苏省,无锡市,J,wuxishi
江苏省,徐州市,J,xuzhoushi
江苏省,常州市,J,changzhoushi
江苏省,苏州市,J,suzhoushi
江苏省,南通市,J,nantongshi
江苏省,连云港市,J,lianyungangshi
江苏省,淮安市,J,huaianshi
江苏省,盐城市,J,yanchengshi
江苏省,扬州市,J,yangzhoushi
江苏省,镇江市,J,zhenjiangshi
江苏省,泰州市,J,taizhoushi
江苏省,宿迁市,J,suqianshi
浙江省,杭州市,ZJ,hangzhoushi
浙江省,宁波市,ZJ,ningboshi
浙江省,温州市,ZJ,wenzhoushi
浙江省,嘉兴市,ZJ,jiaxingshi
浙江省,湖州市,ZJ,huzhoushi
浙江省,绍兴市,ZJ,shaoxingshi
浙江省,金华市,ZJ,jinhuashi
浙江省,衢州市,ZJ,quzhoushi
浙江省,舟山市,ZJ,zhoushanshi
浙江省,台州市,ZJ,taizhoushi
浙江省,丽水市,ZJ,lishuishi
安徽省,合肥市,AH,hefeishi
